Class;Date;Opening Price;Closing Price;Maximum;Minimum;Var. %;Return;MOMENTUM5;EMA12;EMA26;MACD 12-26;EMA9 of MACD12-26;MACD 12-26-9;ROI10;ROI20;ROI30;RSI 10;RSI 14;RSI 30;STOCHRSI10;STOCHRSI14;STOCHRSI30;ADX;Williams%R;CCI;ATR;UO;;;;;;;
0;20100505;1171.75;1164;1175;1154.75;-0.0072;-0.007249467;-26;1189.691795;1196.564172;-6.872377494;-3.316188221;-3.556189273;-2.57334E-06;N;N;50.41327515;N;N;1;N;N;N;N;N;N;N;;;;;;;
0;20100506;1163.75;1122.5;1168.75;1056;-0.0357;-0.035652921;-82.75;1179.354595;1191.077937;-11.72334169;-4.997618915;-6.725722776;-5.93745E-06;N;N;50.6223338;N;N;1;N;N;N;N;N;N;N;;;;;;;
1;20100507;1123.75;1107;1135.5;1090.75;-0.0138;-0.013808463;-76.5;1168.223119;1184.849942;-16.62682257;-7.323459646;-9.303362922;-8.05723E-06;N;N;50.74638156;50.73434059;N;1;0;N;N;-68.27371695;N;N;N;;;;;;;
0;20100510;1125.25;1156.5;1162;1121.5;0.0447;0.044715447;-42;1166.419562;1182.749946;-16.33038368;-9.124844453;-7.205539228;-3.56061E-06;N;N;50.69321547;50.56396367;N;0.90517995;0;N;N;-37.48055988;N;31.33928571;N;;;;;;;
1;20100511;1156;1152.25;1169;1140.5;-0.0037;-0.003674881;-20.25;1164.23963;1180.490691;-16.25106109;-10.55008778;-5.700973312;-1.93535E-06;N;N;50.7971163;50.69343711;N;1;0.759923612;N;N;-40.1244168;N;31.13647959;N;;;;;;;
0;20100512;1151.75;1169.75;1171.25;1141;0.0152;0.015187676;5.75;1165.087379;1179.695084;-14.60770509;-11.36161124;-3.246093849;-1.2595E-06;N;N;50.69033883;50.58153966;N;0.825367185;0.103159466;N;N;-29.23794712;N;31.07315962;N;;;;;;;
0;20100513;1169;1156.75;1174.75;1153.75;-0.0111;-0.011113486;34.25;1163.804705;1177.995448;-14.19074293;-11.92743758;-2.263305346;-3.34227E-06;N;N;50.5094808;50.49339572;N;0.52957682;0;N;N;-37.32503888;N;30.35364822;N;;;;;;;
0;20100514;1155.5;1135.25;1159.5;1123.75;-0.0186;-0.018586557;28.25;1159.411674;1174.829119;-15.41744501;-12.62543907;-2.792005946;-3.45317E-06;N;N;50.65959675;50.66866374;N;0.775089012;0.727419608;N;N;-48.53896104;N;30.73910192;N;;;;;;;
0;20100517;1133.75;1134.5;1140.25;1112.75;-0.0007;-0.000660647;-22;1155.579109;1171.841777;-16.26266807;-13.35288487;-2.909783204;-4.63086E-06;-2.67659E-06;N;50.43428773;50.78094285;N;0.325319087;1;N;N;-48.35526316;-107.5584574;30.5077375;N;;;;;;;
0;20100518;1135.5;1118.75;1147.5;1115.25;-0.0139;-0.013882768;-33.5;1149.913092;1167.909052;-17.99596058;-14.28150001;-3.714460567;-3.99786E-06;-3.19901E-06;N;50.58164818;50.81213475;N;0.438652896;1;N;N;-58.71710526;-100.3238211;30.63218482;N;;;;;;;
0;20100519;1118;1110;1122.75;1098.75;-0.0078;-0.007821229;-59.75;1143.772616;1163.619493;-19.8468768;-15.39457537;-4.452301437;-4.08089E-06;-3.38971E-06;N;50.73056373;50.72030559;N;0.816572969;0.711898578;N;N;-64.47368421;-125.8343149;30.15845733;N;;;;;;;
1;20100520;1110;1070;1116.5;1067.25;-0.0360;-0.036036036;-86.75;1132.422983;1156.684716;-24.2617328;-17.16800686;-7.093725949;-4.26925E-06;-5.24901E-06;N;50.87618579;50.94723909;N;1;1;N;N;-90.4109589;-160.5905735;31.52213895;N;;;;;;;
0;20100521;1069.25;1084.5;1088.75;1051.25;0.0136;0.013551402;-50.75;1125.050216;1151.3377;-26.28748343;-18.99190217;-7.295581257;-1.68936E-06;-4.95688E-06;N;50.25548463;50.1254196;N;0;0;N;N;-77.60942761;-157.4455172;31.94912902;N;;;;;;;
1;20100524;1085.5;1071;1088.75;1070;-1.2400;-0.012448133;-63.5;1116.734798;1145.386759;-28.6519606;-20.92391386;-7.728046744;-7.04805E-06;-5.44646E-06;N;50.19064318;50.33017302;N;0;0.249146464;N;N;-84.04040404;-136.0361258;31.00633409;N;;;;;;;
0;20100525;1069.5;1073;1074.75;1036.75;0.1900;0.001867414;-45.75;1110.006368;1140.024777;-30.01840898;-22.74281288;-7.275596096;-6.51839E-06;-4.29834E-06;N;49.89502887;50.07007298;N;0;0;N;N;-73.73188406;-144.5247708;31.50588166;N;;;;;;;
1;20100526;1072.5;1061.25;1089.5;1060.5;-1.1000;-0.010950606;-48.75;1102.505388;1134.189608;-31.68421999;-24.5310943;-7.153125692;-9.05354E-06;-5.2209E-06;N;49.34953538;50.20743636;N;0;0.156599048;N;N;-82.24637681;-113.6619504;31.32689011;N;;;;;;;
0;20100527;1060;1101;1103;1055.5;3.7500;0.03745583;31;1102.27379;1131.731119;-29.45732868;-25.51634118;-3.940987505;-4.31529E-06;-3.9134E-06;N;49.68118183;50.10666773;N;0.21723798;0.041719297;N;59.68232213;-53.44202899;-76.86773089;32.48211225;52.63221853;;;;;;;
0;20100528;1100.25;1088.5;1106.75;1083.25;-1.1400;-0.011353315;4;1100.154745;1128.528814;-28.37406821;-26.08788659;-2.286181628;-3.70033E-06;-3.65091E-06;N;49.83341162;49.93769418;N;0.316952877;0;N;59.88636176;-62.5;-57.99149006;31.8405328;49.68131203;;;;;;;
1;20100601;1088.5;1069.5;1096;1068.5;-1.7500;-0.017455214;-1.5;1095.438631;1124.156309;-28.71767818;-26.6138449;-2.103833275;-5.33639E-06;-5.12434E-06;-3.70034E-06;50.04662491;50.12479554;50.68631068;0.456613721;0.185332385;0;60.07582713;-76.26811594;-80.6594778;31.53049474;51.55940719;;;;;;;
1;20100602;1069.25;1096.75;1098.25;1067.25;2.5500;0.025479196;23.75;1095.64038;1122.126212;-26.4858321;-26.58824234;0.10241024;-1.61483E-06;-2.84644E-06;-2.71373E-06;50.2408075;49.70923763;50.47299642;0.583808914;0;0;60.02436416;-56.52173913;-54.97395796;31.49260226;53.15081514;;;;;;;
0;20100603;1097;1103.5;1105.25;1090.75;0.6200;0.006154548;42.25;1096.849552;1120.746493;-23.89694037;-26.04998195;2.15304158;-3.38461E-07;-2.22169E-06;-2.38594E-06;50.45521767;49.9161777;50.46666565;0.724253755;0.167156568;0;60.50069546;-45.62118126;-21.091355;30.27884496;56.75855002;;;;;;;
0;20100604;1104;1066;1107.75;1059.25;-3.4000;-0.033982782;-35;1092.103467;1116.691197;-24.58772958;-25.75753147;1.169801899;-1.57754E-07;-2.22151E-06;-3.56505E-06;50.47387887;50.09240259;50.43551225;1;0.309502839;0;60.70172977;-73.58916479;-68.31664127;31.58035603;46.90786972;;;;;;;
1;20100607;1064;1048;1070.75;1047;-1.6900;-0.016885553;-40.5;1085.318318;1111.60296;-26.28464158;-25.8629535;-0.421688084;-3.06475E-06;-2.40647E-06;-4.44126E-06;50.60592914;50.31428023;50.37296914;1;0.48872527;0;60.88840449;-89.84198646;-107.9539129;31.02104489;46.8930237;;;;;;;
0;20100608;1048.25;1059.25;1063.25;1041.25;1.0700;0.010734733;-10.25;1081.307808;1107.724963;-26.41715507;-25.97379381;-0.443361259;-8.43592E-07;-3.98491E-06;-3.95245E-06;50.46555367;50.3080092;50.31802481;0.88827112;0.483659829;0;61.06174531;-73.8372093;-102.6143038;30.37668454;44.44942741;;;;;;;
1;20100609;1059;1055.5;1077.75;1051.25;-0.3500;-0.003540241;-41.25;1077.337376;1103.856447;-26.51907128;-26.0828493;-0.436221974;-1.35892E-06;-3.99269E-06;-3.36605E-06;50.58780309;50.4672264;50.46636467;0.985572952;0.612268076;0.402784555;59.72951178;-76.48902821;-82.42950108;30.0997785;41.66223693;;;;;;;
1;20100610;1055;1083.75;1087.75;1052.25;2.6800;0.026764567;-19.75;1078.323933;1102.367081;-24.04314727;-25.6749089;1.631761629;2.15656E-06;-3.3545E-06;-2.68949E-06;50.5419268;50.47140059;50.25189943;0.930789374;1;0;57.60934382;-33.8028169;-45.42976558;30.48550861;51.59975316;;;;;;;
1;20100611;1084;1089.25;1092.25;1074.5;0.5100;0.005074971;23.25;1080.004867;1101.395445;-21.39057834;-24.81804279;3.427464442;-8.27091E-07;-2.59447E-06;-2.91277E-06;50.48791822;50.48701568;50.0156232;0.847238514;1;0;56.50103634;-26.05633803;-3.865309989;29.57582942;48.29957016;;;;;;;
1;20100614;1090.5;1090.5;1106;1088.75;0.1100;0.001147579;42.5;1081.619503;1100.588375;-18.96887246;-23.64820872;4.679336265;3.20202E-07;-1.68667E-06;-2.32274E-06;50.6385126;50.51891724;50.07039802;1;1;0.081669669;55.91099528;-24.29577465;46.42920432;28.69541303;45.24546434;;;;;;;
1;20100615;1090.25;1113.5;1115.75;1088.5;2.1100;0.021091243;54.25;1086.524195;1101.544792;-15.02059722;-21.92268642;6.902089204;3.77533E-06;-6.75096E-07;-2.0228E-06;50.8016232;50.63505095;49.91018652;1;1;0;54.59491348;-3.020134228;105.2540913;28.59216924;53.55982689;;;;;;;
1;20100616;1113.5;1114;1119;1104.25;0.0400;0.000449035;58.5;1090.751242;1102.4674;-11.71615824;-19.88138078;8.165222543;1.52676E-06;-3.15347E-08;-1.35933E-06;50.85801618;50.67383365;50.02047418;1;1;0.142100541;53.87324073;-6.430868167;145.9165154;27.60344287;59.19320259;;;;;;;
1;20100617;1114;1116.25;1122.5;1105.5;0.2000;0.002019749;32.5;1094.674127;1103.488333;-8.814205674;-17.66794576;8.853740088;1.15326E-06;4.09334E-07;-1.07979E-06;50.89961492;50.71249598;50.1307389;1;1;0.28417152;52.93355177;-7.692307692;153.8079635;26.84605409;59.34408524;;;;;;;
0;20100618;1116;1118.83;1119;1113;0.2300;0.00231131;29.58;1098.390416;1104.624753;-6.234337359;-15.38122408;9.146886722;4.39454E-06;2.12212E-06;5.37701E-08;51.07948972;50.89903758;50.19094594;1;1;0.361745499;52.30169995;-4.516923077;140.3187623;25.35705023;64.07779731;;;;;;;
0;20100621;1116;1110.5;1129.5;1103.25;-0.7400;-0.007445278;20;1100.253429;1105.059956;-4.806527855;-13.26628484;8.459756981;5.27759E-06;1.19266E-06;2.45174E-07;50.34766378;50.65845599;50.18562557;0;0.797796604;0.354890452;50.90251201;-21.52974504;114.2663226;25.42083236;54.9286044;;;;;;;
0;20100622;1110.5;1090.5;1117;1089.5;-1.8000;-0.018009905;-23;1098.752901;1103.981441;-5.228540034;-11.65873588;6.430195842;2.73847E-06;9.59527E-07;-1.66766E-06;50.41625937;50.5674296;50.11030835;0.093732111;0.662609096;0.257847697;49.60326606;-44.19263456;47.21936062;25.56934433;46.70482286;;;;;;;
0;20100623;1090.75;1087.5;1097.75;1080.25;-0.2800;-0.002751032;-26.5;1097.021686;1102.760594;-5.738908094;-10.47477032;4.735862225;2.8186E-06;7.49831E-07;-1.64394E-06;50.17180494;50.50202163;50.20277647;0;0.507812141;0.376988595;48.39682339;-47.59206799;-0.203828886;24.99296259;50.12379645;;;;;;;
